tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
MA11	Adirondacks	MA11-1:MA11-2:MA11-3:MA11-4:MA11-5:MA11-7:MA11-8:MA11-9	MA11-1a:MA11-2a:MA11-3a:MA11-4a:MA11-5a:MA11-7a:MA11-8a:MA11-9a	   21.9 	mt	  196.4 	   87.2 	     7 	8.0	8 	8 	0 	n	7.0472 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   43.6 	   43.5 	   38.7 	  283.9 
MA11	Adirondacks	MA11-3:MA11-4:MA11-5:MA11-6:MA11-7:MA11-8:MA11-9	MA11-3a:MA11-4a:MA11-5a:MA11-6a:MA11-7a:MA11-8a:MA11-9a	    9.2 	ht	  305.9 	  -61.1 	    44 	7.0	7 	7 	0 	t	6.8627 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	   14.1 	   10.8 	   -8.9 	  143.3 
MA11	Adirondacks	MA11-1:MA11-2:MA11-3:MA11-4:MA11-5:MA11-7:MA11-8:MA11-9	MA11-1a:MA11-2a:MA11-3a:MA11-4a:MA11-5a:MA11-7a:MA11-8a:MA11-9a	   21.9 	mt	  196.4 	   87.2 	     7 	8.0	8 	8 	0 	n	7.0472 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   43.6 	   43.5 	   38.7 	  283.9 
MA12	Adirondacks	MA12-8	MA12-8a		lt	31.2	43.1		1.0	1	1	0	n		100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  223.3 	  138.5 	   58.4 	   42.5 
MA12	Adirondacks	MA12-4:MA12-6:MA12-8	MA12-4a:MA12-6a:MA12-8a	  180.0 	mt	  121.8 	    4.4 	     1 	3.0	3 	3 	0 	t	1.1895 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	  180.4 	   90.4 	  -20.6 	  351.0 
MA12	Adirondacks	MA12-8	MA12-8a		lt	31.2	43.1		1.0	1	1	0	n		0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  223.3 	  138.5 	   58.4 	   42.5 
MA12	Adirondacks	MA12-4:MA12-6:MA12-8	MA12-4a:MA12-6a:MA12-8a	  180.0 	mt	  121.8 	    4.4 	     1 	3.0	3 	3 	0 	t	1.1895 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	  180.4 	   90.4 	  -20.6 	  351.0 
MA13	Adirondacks	MA13-1:MA13-2:MA13-3:MA13-4:MA13-5:MA13-8	MA13-1a:MA13-2a:MA13-3a:MA13-4a:MA13-5a:MA13-8a	   10.8 	lt	   15.8 	   46.6 	    40 	6.0	6 	6 	0 	n	5.8743 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.9 	    8.9 	   69.4 	   62.7 
MA13	Adirondacks	MA13-1:MA13-2:MA13-3:MA13-4:MA13-6:MA13-7:MA13-8	MA13-1a:MA13-2a:MA13-3a:MA13-4a:MA13-6a:MA13-7a:MA13-8a	  180.0 	mt	  331.4 	  -32.4 	     1 	7.0	7 	7 	0 	t	2.3432 	0	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	  203.2 	  114.7 	   23.0 	  135.6 
MA13	Adirondacks	MA13-1:MA13-2:MA13-3:MA13-4:MA13-5:MA13-8	MA13-1a:MA13-2a:MA13-3a:MA13-4a:MA13-5a:MA13-8a	   10.8 	lt	   15.8 	   46.6 	    40 	6.0	6 	6 	0 	n	5.8743 	100	44.1	-74.1		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.9 	    8.9 	   69.4 	   62.7 
