tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
HH4-5a		HH4-5																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-5a	HH4-5a_LP-DIR-T	HH4-5		lt	233.1	27.4	1	6	100	29.6	12.2	593	473	K		hargrave 2023-11-13 16:43:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-6a	HH4-6a_LP-DIR-T	HH4-6		lt	177.3	53.8	1	5	100	5.4	14.8	548	423	K		hargrave 2023-11-25 09:14:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH4
HH4-6a	HH4-6a_LP-DIR-T	HH4-6		lt	177.3	53.8	1	5	0	5.4	14.8	548	423	K		hargrave 2023-11-25 09:14:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH4
HH4-6a	HH4-6a_LP-DIR-T	HH4-6		lt	222.3	28.9	1	5	-1	5.4	14.8	548	423	K		hargrave 2023-11-25 09:14:20	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH4
HH4-6a		HH4-6																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-7a		HH4-7																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-8a		HH4-8																	This study	LP-NOMAG				Grenville orogen	HH4
HH4-9a		HH4-9																	This study	LP-NOMAG				Grenville orogen	HH4
HH5-1a	HH5-1a_LP-DIR-T	HH5-1		lt	352.3	-23.8	1	6	-1	7.2	5.1	548	373	K		hargrave 2023-11-13 17:00:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-1a	HH5-1a_LP-DIR-T	HH5-1		lt	287.8	-72.5	1	6	0	7.2	5.1	548	373	K		hargrave 2023-11-13 17:00:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-1a	HH5-1a_LP-DIR-T	HH5-1		lt	287.8	-72.5	1	6	100	7.2	5.1	548	373	K		hargrave 2023-11-13 17:00:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-1a		HH5-1																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-2a	HH5-2a_LP-DIR-T	HH5-2		lt	358.8	-20.4	1	6	-1	1.9	2.5	573	423	K		hargrave 2023-11-13 17:01:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-2a	HH5-2a_LP-DIR-T	HH5-2		lt	297.1	-79.4	1	6	0	1.9	2.5	573	423	K		hargrave 2023-11-13 17:01:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-2a	HH5-2a_LP-DIR-T	HH5-2		lt	297.1	-79.4	1	6	100	1.9	2.5	573	423	K		hargrave 2023-11-13 17:01:57	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-2a		HH5-2																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-3a		HH5-3																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-3a	HH5-3a_LP-DIR-T	HH5-3		lt	245.1	38.3	1	5	-1	8.0	4.3	498	77	K		hargrave 2023-11-13 17:03:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-3a	HH5-3a_LP-DIR-T	HH5-3		lt	190.8	44.0	1	5	0	8.0	4.3	498	77	K		hargrave 2023-11-13 17:03:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-3a	HH5-3a_LP-DIR-T	HH5-3		lt	190.8	44.0	1	5	100	8.0	4.3	498	77	K		hargrave 2023-11-13 17:03:23	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-4a	HH5-4a_LP-DIR-T	HH5-4		lt	217.7	24.4	1	6	-1	10.9	5.7	498	273	K		hargrave 2023-11-25 09:18:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-4a	HH5-4a_LP-DIR-T	HH5-4		lt	214.9	56.0	1	6	100	10.9	5.7	498	273	K		hargrave 2023-11-25 09:18:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-4a	HH5-4a_LP-DIR-T	HH5-4		lt	214.9	56.0	1	6	0	10.9	5.7	498	273	K		hargrave 2023-11-25 09:18:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-4a		HH5-4																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-5a	HH5-5a_LP-DIR-T	HH5-5		lt	232.3	38.6	1	6	0	47.5	6.6	498	273	K		hargrave 2023-11-25 09:20:02	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-5a	HH5-5a_LP-DIR-T	HH5-5		lt	232.3	38.6	1	6	100	47.5	6.6	498	273	K		hargrave 2023-11-25 09:20:02	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-5a		HH5-5																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-5a	HH5-5a_LP-DIR-T	HH5-5		lt	236.7	21.2	1	6	-1	47.5	6.6	498	273	K		hargrave 2023-11-25 09:20:02	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-6a	HH5-6a_LP-DIR-T	HH5-6		lt	219.7	-0.2	1	6	-1	13.1	5.4	498	273	K		hargrave 2023-11-13 17:07:56	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-6a	HH5-6a_LP-DIR-T	HH5-6		lt	199.9	48.2	1	6	100	13.1	5.4	498	273	K		hargrave 2023-11-13 17:07:56	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-6a		HH5-6																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-6a	HH5-6a_LP-DIR-T	HH5-6		lt	199.9	48.2	1	6	0	13.1	5.4	498	273	K		hargrave 2023-11-13 17:07:56	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-7a	HH5-7a_LP-DIR-T	HH5-7		lt	196.3	47.1	1	4	0	20.2	3.3	423	273	K		hargrave 2023-11-25 09:21:14	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-7a	HH5-7a_LP-DIR-T	HH5-7		lt	196.3	47.1	1	4	100	20.2	3.3	423	273	K		hargrave 2023-11-25 09:21:14	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-7a	HH5-7a_LP-DIR-T	HH5-7		lt	170.5	23.5	1	4	-1	20.2	3.3	423	273	K		hargrave 2023-11-25 09:21:14	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH5-7a		HH5-7																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-8a		HH5-8																	This study	LP-NOMAG				Grenville orogen	HH5
HH5-8a	HH5-8a_LP-DIR-T	HH5-8		lt	202.8	47.5	1	5	100	13.9	2.5	473	273	K		hargrave 2023-11-25 09:22:41	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH5
HH5-8a	HH5-8a_LP-DIR-T	HH5-8		lt	202.8	47.5	1	5	0	13.9	2.5	473	273	K		hargrave 2023-11-25 09:22:41	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH5
HH5-8a	HH5-8a_LP-DIR-T	HH5-8		lt	183.5	19.5	1	5	-1	13.9	2.5	473	273	K		hargrave 2023-11-25 09:22:41	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH5
HH6-10a		HH6-10																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-12a	HH6-12a_LP-DIR-T	HH6-12		pdf	359.1	25.6	1	3	0	21.4	4.6	373	273	K		hargrave 2023-11-13 17:31:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Grenville orogen	HH6
HH6-12a	HH6-12a_LP-DIR-T	HH6-12		pdf	350.5	69.4	1	3	-1	21.4	4.6	373	273	K		hargrave 2023-11-13 17:31:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Grenville orogen	HH6
HH6-12a		HH6-12																	This study	LP-NOMAG				Grenville orogen	HH6
HH6-12a	HH6-12a_LP-DIR-T	HH6-12		pdf	359.1	25.6	1	3	100	21.4	4.6	373	273	K		hargrave 2023-11-13 17:31:33	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
HH6-13a	HH6-13a_LP-DIR-T	HH6-13		pdf	6.0	57.7	1	4	100	52.5	2.3	423	273	K		hargrave 2023-11-13 17:33:53	pmagpy-4.2.113: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Grenville orogen	HH6
